State,District,Change,Candidate,Party
Alabama,AL-01,Removed,Austin Sidwell (R),R
Alabama,AL-01,Removed,Barry Moore (R),R
Alabama,AL-01,Added,James Richardson (R),R
Alabama,AL-01,Added,Austin Sidwell (R),R
Alabama,AL-02,Removed,Joshua Mckee (R),R
Alabama,AL-02,Added,Hampton Harris (R),R
Alabama,AL-05,Removed,Dale Strong (R),R
Alabama,AL-05,Added,Dale Strong (R),R
Alabama,AL-05,Added,Joseph Terry (R),R
Alabama,AL-05,Removed,Andrew Sneed (D),D
Alabama,AL-05,Removed,Amanda Pusczek (D),D
Alabama,AL-05,Added,Andrew Sneed (D),D
Alaska,AK-AL,Removed,Nancy Dahlstrom (R),R
Alaska,AK-AL,Removed,Matthew Salisbury (R),R
Alaska,AK-AL,Removed,Tara Sweeney (R),R
Alaska,AK-AL,Removed,Don Young (R),R
Alaska,AK-AL,Removed,John B. Coghill (R),R
Alaska,AK-AL,Removed,Shannon Evans (R),R
Alaska,AK-AL,Removed,Mikel Melander (R),R
Alaska,AK-AL,Removed,Julio Perez (R),R
Alaska,AK-AL,Removed,Josh Revak (R),R
Alaska,AK-AL,Removed,Jesse Sumner (R),R
Alaska,AK-AL,Removed,Arianna Cocallas (R),R
Alaska,AK-AL,Added,Nicholas Begich (R),R
Alaska,AK-AL,Removed,Christopher Constant (D),D
Alaska,AK-AL,Removed,Mike Milligan (D),D
Alaska,AK-AL,Removed,Adam Wool (D),D
Alaska,AK-AL,Removed,Sherry Strizak (I),I
Alaska,AK-AL,Removed,Tyler Cropley (I),I
Alaska,AK-AL,Removed,Al Gross (I),I
Alaska,AK-AL,Removed,William Hibler (I),I
Alaska,AK-AL,Removed,Jeff Lowenfels (I),I
Alaska,AK-AL,Removed,Breck Craig (I),I
Alaska,AK-AL,Removed,Richard Morris (I),I
Alaska,AK-AL,Added,Matthew Schultz (D),D
Alaska,AK-AL,Added,John Brendan Williams (D),D
Arizona,AZ-01,Added,Jay Feely (R),R
Arizona,AZ-01,Added,Andres Barraza (D),D
Arizona,AZ-01,Removed,Marlene Gal\u00e1n-Woods (D),D
Arizona,AZ-01,Added,Marlene Galan-Woods (D),D
Arizona,AZ-01,Removed,Jonathan Treble (D),D
Arizona,AZ-01,Added,Jonathan Treble (D),D
Arizona,AZ-01,Added,Victor Weintraub (D),D
Arizona,AZ-05,Removed,Thomas Feely (R),R
Arizona,AZ-05,Added,Mike Gross (R),R
Arizona,AZ-06,Removed,Aiden Swallow (D),D
Arizona,AZ-06,Added,Aiden Swallow (D),D
Arizona,AZ-06,Added,Carter Weeks (D),D
Arkansas,AR-02,Added,French Hill (R),R
Arkansas,AR-02,Added,Chase McDowell (R),R
Arkansas,AR-02,Added,Zack Huffman (D),D
Arkansas,AR-02,Added,Chris Jones (D),D
Arkansas,AR-04,Added,Steven O'Donnell (D),D
Arkansas,AR-04,Added,James Russell (D),D
California,CA-01,Removed,Angelita Valles (R),R
California,CA-01,Removed,Doug LaMalfa (R),R
