State,District,Change,Candidate,Party
Alabama,AL-01,Removed,Barry Moore (R),R
Alabama,AL-01,Added,James Richardson (R),R
Alabama,AL-02,Removed,Joshua Mckee (R),R
Alabama,AL-02,Added,Hampton Harris (R),R
Alabama,AL-05,Removed,Amanda Pusczek (D),D
Alabama,AL-05,Added,Joseph Terry (R),R
Alaska,AK-AL,Removed,Adam Wool (D),D
Alaska,AK-AL,Removed,Al Gross (I),I
Alaska,AK-AL,Removed,Arianna Cocallas (R),R
Alaska,AK-AL,Removed,Breck Craig (I),I
Alaska,AK-AL,Removed,Christopher Constant (D),D
Alaska,AK-AL,Removed,Don Young (R),R
Alaska,AK-AL,Removed,Jeff Lowenfels (I),I
Alaska,AK-AL,Removed,Jesse Sumner (R),R
Alaska,AK-AL,Removed,John B. Coghill (R),R
Alaska,AK-AL,Removed,Josh Revak (R),R
Alaska,AK-AL,Removed,Julio Perez (R),R
Alaska,AK-AL,Removed,Matthew Salisbury (R),R
Alaska,AK-AL,Removed,Mike Milligan (D),D
Alaska,AK-AL,Removed,Mikel Melander (R),R
Alaska,AK-AL,Removed,Nancy Dahlstrom (R),R
Alaska,AK-AL,Removed,Richard Morris (I),I
Alaska,AK-AL,Removed,Shannon Evans (R),R
Alaska,AK-AL,Removed,Sherry Strizak (I),I
Alaska,AK-AL,Removed,Tara Sweeney (R),R
Alaska,AK-AL,Removed,Tyler Cropley (I),I
Alaska,AK-AL,Removed,William Hibler (I),I
Alaska,AK-AL,Added,John Brendan Williams (D),D
Alaska,AK-AL,Added,Matthew Schultz (D),D
Alaska,AK-AL,Added,Nicholas Begich (R),R
Arizona,AZ-01,Removed,Marlene Galán-Woods (D),D
Arizona,AZ-01,Added,Andres Barraza (D),D
Arizona,AZ-01,Added,Jay Feely (R),R
Arizona,AZ-01,Added,Marlene Galan-Woods (D),D
Arizona,AZ-01,Added,Victor Weintraub (D),D
Arizona,AZ-05,Removed,Thomas Feely (R),R
Arizona,AZ-05,Added,Mike Gross (R),R
Arizona,AZ-06,Added,Carter Weeks (D),D
Arkansas,AR-02,Added,Chase McDowell (R),R
Arkansas,AR-02,Added,Chris Jones (D),D
Arkansas,AR-02,Added,French Hill (R),R
Arkansas,AR-02,Added,Zack Huffman (D),D
Arkansas,AR-04,Added,James Russell (D),D
Arkansas,AR-04,Added,Steven O'Donnell (D),D
California,CA-01,Removed,Doug LaMalfa (R),R
California,CA-01,Added,Paul Saulsbury (R),R
California,CA-02,Added,Colby Smart (NPP),P
California,CA-03,Removed,Tyler Vandenberg (D),D
California,CA-11,Removed,Nancy Pelosi (D),D
California,CA-13,Removed,Angelina Sigala (D),D
California,CA-13,Added,Alberto Escobedo (NPP),P
California,CA-14,Removed,Eric Swalwell (D),D
California,CA-16,Added,Jotham Stein (NPP),P
California,CA-18,Added,Chris Demers (NPP),P
California,CA-26,Removed,Julia Brownley (D),D
California,CA-26,Added,Crystal Golden (R),R
California,CA-26,Added,Kyle Langford (D),D
California,CA-26,Added,Kyle Rohrbach (D),D
California,CA-32,Removed,Jake Rakov (D),D
California,CA-34,Added,Loren Colin (NPP),P
California,CA-35,Added,W.H. Lane (D),D
California,CA-37,Added,Steve Hill (NPP),P
California,CA-38,Removed,Linda Sánchez (D),D
California,CA-38,Added,Linda Sanchez (D),D
California,CA-40,Removed,Christina Gagnier (D),D
California,CA-40,Removed,Perry Meade (D),D
California,CA-40,Added,Christian Ahmed (NPP),P
California,CA-40,Added,Maricar Payad (AIP),P
California,CA-44,Added,Darren Parker (D),D
California,CA-44,Added,Nanette Barragán (D),D
California,CA-45,Removed,Michelle Steel (R),R
Colorado,CO-05,Added,Steven Fuller (U),U
Colorado,CO-06,Added,Edwardo Quinonez (I),I
Colorado,CO-06,Added,Travis Dishon (D),D
Colorado,CO-08,Removed,Dave Young (D),D
Connecticut,CT-01,Removed,Jack Perry (D),D
Delaware,DE-AL,Removed,Alexander Geise (D),D
Delaware,DE-AL,Removed,Anne Kerner (D),D
Delaware,DE-AL,Removed,Christopher Hill (R),R
Delaware,DE-AL,Removed,Colleen Davis (D),D
Delaware,DE-AL,Removed,Curtis Aiken (D),D
Delaware,DE-AL,Removed,Eugene Young (D),D
Delaware,DE-AL,Removed,Joseph Arminio (R),R
Delaware,DE-AL,Removed,Lisa Blunt Rochester (D),D
Delaware,DE-AL,Added,Donyale Hall (R),R
Delaware,DE-AL,Added,Earl Cooper (R),R
Delaware,DE-AL,Added,Lee Murphy (R),R
Delaware,DE-AL,Added,Sarah McBride (D),D
Florida,FL-02,Removed,Neal Dunn (R),R
Florida,FL-02,Added,Evan Power (R),R
Florida,FL-03,Added,Angela Wiman (I),I
Florida,FL-03,Added,Anthony Stebbins (L),L
Florida,FL-04,Added,Ronald Sherard (NPA),A
Florida,FL-04,Added,Todd Schaefer (I),I
Florida,FL-05,Removed,Wyatt Clark (D),D
Florida,FL-05,Added,Alexander Hazen (D),D
Florida,FL-06,Added,Amr Metwally (NPA),A
Florida,FL-06,Added,Christopher Manuel Alcantara (NPA),A
Florida,FL-06,Added,Purvi Bangdiwala (NPA),A
Florida,FL-07,Removed,Mike Wilnau (R),R
Florida,FL-10,Removed,Howard Steven Rance (R),R
Florida,FL-11,Added,Ralph Groves (L),L
Florida,FL-13,Added,Tony D'Arrigo (NPA),A
Florida,FL-14,Removed,John Wick (R),R
Florida,FL-16,Added,Mark Davis (NPA),A
Florida,FL-18,Added,Deva Simmons (NPA),A
Florida,FL-19,Removed,Byron Donalds (R),R
Florida,FL-19,Added,Louis Shenker (R),R
Florida,FL-20,Added,Kevin McClellan (NPA),A
Florida,FL-21,Added,Robert Ott (NPA),A
Florida,FL-22,Added,Dan Franzese (I),I
Florida,FL-22,Added,David Burck (I),I
Florida,FL-23,Removed,Michaelangelo Hamilton (R),R
Florida,FL-23,Added,Scott Singer (I),I
Florida,FL-27,Added,V. Michael Arias (I),I
Georgia,GA-01,Added,Dylan Castillo (SLP),P
Georgia,GA-01,Added,Eugene Monte (R),R
