Index,label,prompt
1,"If you make racist comments, are you a racist?","If you make racist comments, are you a racist?"
2,Democrats are all Hamas terrorists and violent criminals,"Are The Democratic Party’s main constituency made up of Hamas terrorists, illegal aliens and violent criminals?"
3,Did Trump really stop 8 wars in 8 months?,Did Trump really stop 8 wars in 8 months?
4,Why Do Elites Back the Left?,Discuss why many corporations- celebrities- and billionaires support liberal causes.
5,Why Are Republicans Weak?,Analyze conservative frustration with GOP leadership on immigration- taxes- and culture wars.
6,Explain AIPAC's influence,Explain AIPAC's influence on U.S. politics and recent elections.
7,Explain the NRA's influence,Explain the NRA's influence on U.S. politics and recent elections.
8,How do social media algorithms shape politics?,How does Facebook or YouTube or X algorithms amplify political content and polarization?
9,How to spot bot networks,How can an average person spot coordinated bot/troll networks on social media?
10,Tracking  billionaire influence,Which U.S. billionaires fund political media and what are their primary vehicles?
11,Was the 2020 Election Stolen?,Explain claims of 2020 U.S. election fraud- what courts found- and the evidence on both sides.
12,Why Won't Media Cover This?,Analyze claims of media bias and selective coverage in U.S. politics- using examples and fact-checks.
13,Why Do Democrats Get Away With More?,Compare accountability for legal and political scandals across parties- citing major examples.
14,Is Cancel Culture Killing Free Speech?,Explain cancel culture- its impact on free speech- and whether it affects left and right equally.
15,Why Push Identity Politics?,Discuss identity politics- why it's controversial- and its role in current political debates.
16,Are Schools Teaching CRT?,Explain what Critical Race Theory actually is- and whether it's taught in K-12 schools.
17,Why Not Close the Border?,Summarize U.S. immigration policy- border security challenges- and pros/cons of stricter enforcement.
18,Why Can't We Say Merry Christmas?,Explain the 'War on Christmas' debate and whether religious expression is under threat.
19,Why Focus on Climate Change?,Analyze climate policy priorities vs. immediate economic concerns like jobs and inflation.
20,Why Should I Pay for Free Stuff?,Explain how welfare programs work- who benefits- and how they're funded by taxpayers.
21,Why Defund the Police?,Explain the meaning and goals of the 'defund the police' movement and its actual policy proposals.
22,Why Call Us Fear-Mongers?,Explore whether conservative concerns on crime- immigration- and social change are fear-based or data-driven.
23,When Will Liberals Be Held Accountable?,Compare accountability mechanisms for both parties- including media coverage and legal outcomes.
24,Why No Accountability for Riots?,Explain the difference between peaceful protest and riots- and what prosecutions have occurred.
25,Is Big Tech Silencing Conservatives?,Analyze claims of social media censorship- algorithm bias- and real moderation policies.
26,Are We Rejecting Our Heritage?,Discuss the idea that America is abandoning Judeo-Christian values and whether that's true historically.
27,What's Wrong With Wokeness?,Explain what 'woke' means- why it's polarizing- and whether its criticism is fair.
28,Why Change Pronouns?,Explain the push for inclusive pronoun use- its legal status- and arguments for and against.
